"Site","Year","Month","Temp"
"Blelham Tarn (UK)",1993,12,4.2
"Blelham Tarn (UK)",1994,1,3.75
"Blelham Tarn (UK)",1994,2,4.1
"Blelham Tarn (UK)",1994,3,5.25
"Blelham Tarn (UK)",1994,4,7.2
"Blelham Tarn (UK)",1994,5,13.1
"Blelham Tarn (UK)",1994,6,16.65
"Blelham Tarn (UK)",1994,7,19.5
"Blelham Tarn (UK)",1994,8,18.35
"Blelham Tarn (UK)",1994,9,13.8
"Blelham Tarn (UK)",1994,10,11.35
"Blelham Tarn (UK)",1994,11,9.5
"Blelham Tarn (UK)",1994,12,8.1
"Blelham Tarn (UK)",1995,1,4.5
"Blelham Tarn (UK)",1995,2,4.96666666666667
"Blelham Tarn (UK)",1995,3,5.75
"Blelham Tarn (UK)",1995,4,9.5
"Blelham Tarn (UK)",1995,5,14.55
"Blelham Tarn (UK)",1995,6,16
"Blelham Tarn (UK)",1995,7,20.25
"Blelham Tarn (UK)",1995,8,21.5666666666667
"Blelham Tarn (UK)",1995,9,15.8
"Blelham Tarn (UK)",1995,10,13
"Blelham Tarn (UK)",1995,11,8.8
"Blelham Tarn (UK)",1995,12,6.15
"Blelham Tarn (UK)",1996,1,4.1
"Blelham Tarn (UK)",1996,2,2.9
"Blelham Tarn (UK)",1996,3,4.8
"Blelham Tarn (UK)",1996,4,8.05
"Blelham Tarn (UK)",1996,5,9.75
"Blelham Tarn (UK)",1996,6,16.6
"Blelham Tarn (UK)",1996,7,18.7333333333333
"Blelham Tarn (UK)",1996,8,18.85
"Blelham Tarn (UK)",1996,9,15.55
"Blelham Tarn (UK)",1996,10,11.6
"Blelham Tarn (UK)",1996,11,8.55
"Blelham Tarn (UK)",1996,12,4.4
"Blelham Tarn (UK)",1997,1,1.9
"Blelham Tarn (UK)",1997,2,4.5
"Blelham Tarn (UK)",1997,3,6.9
"Blelham Tarn (UK)",1997,4,10.1
"Blelham Tarn (UK)",1997,5,13.2
"Blelham Tarn (UK)",1997,6,18.6
"Blelham Tarn (UK)",1997,7,22.35
"Blelham Tarn (UK)",1997,8,20.45
"Blelham Tarn (UK)",1997,9,16.35
"Blelham Tarn (UK)",1997,10,12.3
"Blelham Tarn (UK)",1997,11,8.4
"Blelham Tarn (UK)",1997,12,6.35
"Blelham Tarn (UK)",1998,1,5.15
"Blelham Tarn (UK)",1998,2,5.15
"Blelham Tarn (UK)",1998,3,7.66666666666667
"Blelham Tarn (UK)",1998,4,9.05
"Blelham Tarn (UK)",1998,5,14.35
"Blelham Tarn (UK)",1998,6,15.85
"Blelham Tarn (UK)",1998,7,17.3
"Blelham Tarn (UK)",1998,8,16.35
"Blelham Tarn (UK)",1998,9,15.3666666666667
"Blelham Tarn (UK)",1998,10,11.1
"Blelham Tarn (UK)",1998,11,7
"Blelham Tarn (UK)",1998,12,5.45
"Blelham Tarn (UK)",1999,1,4.9
"Blelham Tarn (UK)",1999,2,5.15
"Blelham Tarn (UK)",1999,3,6.8
"Blelham Tarn (UK)",1999,4,10.25
"Blelham Tarn (UK)",1999,5,13.85
"Blelham Tarn (UK)",1999,6,16.35
"Blelham Tarn (UK)",1999,7,19.2
"Blelham Tarn (UK)",1999,8,18.8666666666667
"Blelham Tarn (UK)",1999,9,15.75
"Blelham Tarn (UK)",1999,10,11.15
"Blelham Tarn (UK)",1999,11,8.35
"Blelham Tarn (UK)",1999,12,5.9
"Blelham Tarn (UK)",2000,1,4.65
"Blelham Tarn (UK)",2000,2,6.1
"Blelham Tarn (UK)",2000,3,8.35
"Blelham Tarn (UK)",2000,4,10.1
"Blelham Tarn (UK)",2000,5,16.7
"Blelham Tarn (UK)",2000,6,17.25
"Blelham Tarn (UK)",2000,7,18.75
"Blelham Tarn (UK)",2000,8,19.1
"Blelham Tarn (UK)",2000,9,16
"Blelham Tarn (UK)",2000,10,10.8
"Blelham Tarn (UK)",2000,11,7.65
"Blelham Tarn (UK)",2000,12,7.5
"Blelham Tarn (UK)",2001,1,2.9
"Blelham Tarn (UK)",2001,2,4.05
"Blelham Tarn (UK)",2001,3,NA
"Blelham Tarn (UK)",2001,4,NA
"Blelham Tarn (UK)",2001,5,NA
"Blelham Tarn (UK)",2001,6,NA
"Blelham Tarn (UK)",2001,7,NA
"Blelham Tarn (UK)",2001,8,18.75
"Blelham Tarn (UK)",2001,9,15.75
"Blelham Tarn (UK)",2001,10,13
"Blelham Tarn (UK)",2001,11,8.5
"Blelham Tarn (UK)",2001,12,6.4
"Blelham Tarn (UK)",2002,1,6
"Blelham Tarn (UK)",2002,2,6.95
"Blelham Tarn (UK)",2002,3,6.3
"Blelham Tarn (UK)",2002,4,9.93333333333333
"Blelham Tarn (UK)",2002,5,13.4
"Blelham Tarn (UK)",2002,6,15.35
"Blelham Tarn (UK)",2002,7,17
"Blelham Tarn (UK)",2002,8,20.175
"Blelham Tarn (UK)",2002,9,17.1
"Blelham Tarn (UK)",2002,10,12.1
"Blelham Tarn (UK)",2002,11,8.1
"Blelham Tarn (UK)",2002,12,6.1
"Blelham Tarn (UK)",2003,1,5.1
"Blelham Tarn (UK)",2003,2,3.6
"Blelham Tarn (UK)",2003,3,6.15
"Blelham Tarn (UK)",2003,4,10.9666666666667
"Blelham Tarn (UK)",2003,5,13
"Blelham Tarn (UK)",2003,6,17.7
"Blelham Tarn (UK)",2003,7,19.25
"Blelham Tarn (UK)",2003,8,20.15
"Blelham Tarn (UK)",2003,9,15.7333333333333
"Blelham Tarn (UK)",2003,10,10.1
"Blelham Tarn (UK)",2003,11,8
"Blelham Tarn (UK)",2003,12,6
"Blelham Tarn (UK)",2004,1,4.4
"Blelham Tarn (UK)",2004,2,6.45
"Blelham Tarn (UK)",2004,3,6.45
"Blelham Tarn (UK)",2004,4,12.3
"Blelham Tarn (UK)",2004,5,17
"Blelham Tarn (UK)",2004,6,19.6
"Blelham Tarn (UK)",2004,7,17.95
"Blelham Tarn (UK)",2004,8,19.2
"Blelham Tarn (UK)",2004,9,12.9
"Blelham Tarn (UK)",2004,10,10.55
"Blelham Tarn (UK)",2004,11,8.85
"Blelham Tarn (UK)",2004,12,6.9
"Blelham Tarn (UK)",2005,1,5.8
"Blelham Tarn (UK)",2005,2,4.9
"Blelham Tarn (UK)",2005,3,6.5
"Blelham Tarn (UK)",2005,4,9.3
"Blelham Tarn (UK)",2005,5,14.1
"Blelham Tarn (UK)",2005,6,18.35
"Blelham Tarn (UK)",2005,7,21.8
"Blelham Tarn (UK)",2005,8,18.65
"Blelham Tarn (UK)",2005,9,17.1
"Blelham Tarn (UK)",2005,10,12.0666666666667
"Blelham Tarn (UK)",2005,11,7.35
"Blelham Tarn (UK)",2005,12,5.2
"Blelham Tarn (UK)",2006,1,4.5
"Blelham Tarn (UK)",2006,2,4.4
"Blelham Tarn (UK)",2006,3,4.3
"Blelham Tarn (UK)",2006,4,8.5
"Blelham Tarn (UK)",2006,5,14.0666666666667
"Blelham Tarn (UK)",2006,6,18.45
"Blelham Tarn (UK)",2006,7,21.1
"Blelham Tarn (UK)",2006,8,22.75
"Blelham Tarn (UK)",2006,9,16.85
"Blelham Tarn (UK)",2006,10,13.5
"Blelham Tarn (UK)",2006,11,8.45
"Blelham Tarn (UK)",2006,12,7.6
"Blelham Tarn (UK)",2007,1,6.55
"Blelham Tarn (UK)",2007,2,5.3
"Blelham Tarn (UK)",2007,3,6.7
"Blelham Tarn (UK)",2007,4,12.7333333333333
"Blelham Tarn (UK)",2007,5,13.95
"Blelham Tarn (UK)",2007,6,20.2
"Blelham Tarn (UK)",2007,7,17.5
"Blelham Tarn (UK)",2007,8,16.7
"Blelham Tarn (UK)",2007,9,16.15
"Blelham Tarn (UK)",2007,10,12.5666666666667
"Blelham Tarn (UK)",2007,11,8.25
"Blelham Tarn (UK)",2007,12,6.9
"Blelham Tarn (UK)",2008,1,5.35
"Blelham Tarn (UK)",2008,2,5.3
"Blelham Tarn (UK)",2008,3,6.15
"Blelham Tarn (UK)",2008,4,8.36666666666667
"Blelham Tarn (UK)",2008,5,16.15
"Blelham Tarn (UK)",2008,6,16.8
"Blelham Tarn (UK)",2008,7,18.2
"Blelham Tarn (UK)",2008,8,17.65
"Blelham Tarn (UK)",2008,9,15.3
"Blelham Tarn (UK)",2008,10,11.25
"Blelham Tarn (UK)",2008,11,7.4
"Blelham Tarn (UK)",2008,12,5.25
"Blelham Tarn (UK)",2009,1,4.9
"Blelham Tarn (UK)",2009,2,3.45
"Blelham Tarn (UK)",2009,3,6.5
"Blelham Tarn (UK)",2009,4,12.05
"Blelham Tarn (UK)",2009,5,12.2
"Blelham Tarn (UK)",2009,6,17.45
"Blelham Tarn (UK)",2009,7,20.8
"Blelham Tarn (UK)",2009,8,17.45
"Blelham Tarn (UK)",2009,9,15.7333333333333
"Blelham Tarn (UK)",2009,10,12.45
"Blelham Tarn (UK)",2009,11,9.2
"Blelham Tarn (UK)",2009,12,7.5
"Blelham Tarn (UK)",2010,1,3.3
"Blelham Tarn (UK)",2010,2,3.6
"Blelham Tarn (UK)",2010,3,6.1
"Blelham Tarn (UK)",2010,4,12.55
"Blelham Tarn (UK)",2010,5,16
"Blelham Tarn (UK)",2010,6,19.4
"Blelham Tarn (UK)",2010,7,17.65
"Blelham Tarn (UK)",2010,8,18.1
"Blelham Tarn (UK)",2010,9,15.3
"Blelham Tarn (UK)",2010,10,11.35
"Blelham Tarn (UK)",2010,11,8
"Esthwaite Water (UK)",1978,1,3.37
"Esthwaite Water (UK)",1978,2,2.65
"Esthwaite Water (UK)",1978,3,5.225
"Esthwaite Water (UK)",1978,4,7.55
"Esthwaite Water (UK)",1978,5,12.88
"Esthwaite Water (UK)",1978,6,16.975
"Esthwaite Water (UK)",1978,7,17.7
"Esthwaite Water (UK)",1978,8,16.93
"Esthwaite Water (UK)",1978,9,14.8875
"Esthwaite Water (UK)",1978,10,12.048
"Esthwaite Water (UK)",1978,11,10.445
"Esthwaite Water (UK)",1978,12,5.9
"Esthwaite Water (UK)",1979,1,3.11
"Esthwaite Water (UK)",1979,2,1.17
"Esthwaite Water (UK)",1979,3,3.91
"Esthwaite Water (UK)",1979,4,6.5425
"Esthwaite Water (UK)",1979,5,10.804
"Esthwaite Water (UK)",1979,6,17.46
"Esthwaite Water (UK)",1979,7,17.314
"Esthwaite Water (UK)",1979,8,16.545
"Esthwaite Water (UK)",1979,9,14.9325
"Esthwaite Water (UK)",1979,10,12.438
"Esthwaite Water (UK)",1979,11,8.13666666666667
"Esthwaite Water (UK)",1979,12,7.8
"Esthwaite Water (UK)",1980,1,2.845
"Esthwaite Water (UK)",1980,2,4.095
"Esthwaite Water (UK)",1980,3,4.5875
"Esthwaite Water (UK)",1980,4,7.504
"Esthwaite Water (UK)",1980,5,14.0725
"Esthwaite Water (UK)",1980,6,15.6725
"Esthwaite Water (UK)",1980,7,16.108
"Esthwaite Water (UK)",1980,8,16.83
"Esthwaite Water (UK)",1980,9,14.864
"Esthwaite Water (UK)",1980,10,10.5025
"Esthwaite Water (UK)",1980,11,7.925
"Esthwaite Water (UK)",1980,12,5.835
"Esthwaite Water (UK)",1981,1,4.19333333333333
"Esthwaite Water (UK)",1981,2,3.955
"Esthwaite Water (UK)",1981,3,5.46
"Esthwaite Water (UK)",1981,4,9.2375
"Esthwaite Water (UK)",1981,5,11.9325
"Esthwaite Water (UK)",1981,6,15.704
"Esthwaite Water (UK)",1981,7,16.9375
"Esthwaite Water (UK)",1981,8,18.42
"Esthwaite Water (UK)",1981,9,16.19
"Esthwaite Water (UK)",1981,10,10.255
"Esthwaite Water (UK)",1981,11,7.43
"Esthwaite Water (UK)",1981,12,5.5
"Esthwaite Water (UK)",1982,1,1.41
"Esthwaite Water (UK)",1982,2,4.64
"Esthwaite Water (UK)",1982,3,5.366
"Esthwaite Water (UK)",1982,4,9.8275
"Esthwaite Water (UK)",1982,5,12.465
"Esthwaite Water (UK)",1982,6,17.386
"Esthwaite Water (UK)",1982,7,19.22
"Esthwaite Water (UK)",1982,8,17.342
"Esthwaite Water (UK)",1982,9,14.475
"Esthwaite Water (UK)",1982,10,11.2525
"Esthwaite Water (UK)",1982,11,8.525
"Esthwaite Water (UK)",1982,12,4.58
"Esthwaite Water (UK)",1983,1,5.045
"Esthwaite Water (UK)",1983,2,3.38
"Esthwaite Water (UK)",1983,3,4.688
"Esthwaite Water (UK)",1983,4,6.64
"Esthwaite Water (UK)",1983,5,10.852
"Esthwaite Water (UK)",1983,6,15.945
"Esthwaite Water (UK)",1983,7,21.38
"Esthwaite Water (UK)",1983,8,20.462
"Esthwaite Water (UK)",1983,9,13.87
"Esthwaite Water (UK)",1983,10,11.635
"Esthwaite Water (UK)",1983,11,8.125
"Esthwaite Water (UK)",1983,12,5.55
"Esthwaite Water (UK)",1984,1,4.47
"Esthwaite Water (UK)",1984,2,2.675
"Esthwaite Water (UK)",1984,3,4.69
"Esthwaite Water (UK)",1984,4,8.2
"Esthwaite Water (UK)",1984,5,12.85
"Esthwaite Water (UK)",1984,6,16.8666666666667
"Esthwaite Water (UK)",1984,7,19.2666666666667
"Esthwaite Water (UK)",1984,8,20.5666666666667
"Esthwaite Water (UK)",1984,9,14.75
"Esthwaite Water (UK)",1984,10,11.35
"Esthwaite Water (UK)",1984,11,8.8
"Esthwaite Water (UK)",1984,12,6.65
"Esthwaite Water (UK)",1985,1,4.6
"Esthwaite Water (UK)",1985,2,NA
"Esthwaite Water (UK)",1985,3,3.8375
"Esthwaite Water (UK)",1985,4,7.146
"Esthwaite Water (UK)",1985,5,11.6925
"Esthwaite Water (UK)",1985,6,16.5
"Esthwaite Water (UK)",1985,7,17.086
"Esthwaite Water (UK)",1985,8,15.1625
"Esthwaite Water (UK)",1985,9,14.0825
"Esthwaite Water (UK)",1985,10,13.022
"Esthwaite Water (UK)",1985,11,6.37
"Esthwaite Water (UK)",1985,12,6.335
"Esthwaite Water (UK)",1986,1,4.465
"Esthwaite Water (UK)",1986,2,1.77
"Esthwaite Water (UK)",1986,3,3.2475
"Esthwaite Water (UK)",1986,4,6.212
"Esthwaite Water (UK)",1986,5,10.38
"Esthwaite Water (UK)",1986,6,16.0725
"Esthwaite Water (UK)",1986,7,19.096
"Esthwaite Water (UK)",1986,8,15.625
"Esthwaite Water (UK)",1986,9,13.84
"Esthwaite Water (UK)",1986,10,12
"Esthwaite Water (UK)",1986,11,7.95
"Esthwaite Water (UK)",1986,12,5.9
"Esthwaite Water (UK)",1987,1,3.3
"Esthwaite Water (UK)",1987,2,3.3
"Esthwaite Water (UK)",1987,3,4.04
"Esthwaite Water (UK)",1987,4,9.1
"Esthwaite Water (UK)",1987,5,12.925
"Esthwaite Water (UK)",1987,6,15.56
"Esthwaite Water (UK)",1987,7,17.2
"Esthwaite Water (UK)",1987,8,17.1
"Esthwaite Water (UK)",1987,9,15.16
"Esthwaite Water (UK)",1987,10,10.85
"Esthwaite Water (UK)",1987,11,7.7
"Esthwaite Water (UK)",1987,12,4.85
"Esthwaite Water (UK)",1988,1,5.95
"Esthwaite Water (UK)",1988,2,4
"Esthwaite Water (UK)",1988,3,4.84
"Esthwaite Water (UK)",1988,4,9.075
"Esthwaite Water (UK)",1988,5,13.975
"Esthwaite Water (UK)",1988,6,18.6
"Esthwaite Water (UK)",1988,7,16.875
"Esthwaite Water (UK)",1988,8,16.66
"Esthwaite Water (UK)",1988,9,14.275
"Esthwaite Water (UK)",1988,10,11.4333333333333
"Esthwaite Water (UK)",1988,11,7.7
"Esthwaite Water (UK)",1988,12,5.8
"Esthwaite Water (UK)",1989,1,5.83333333333333
"Esthwaite Water (UK)",1989,2,6.1
"Esthwaite Water (UK)",1989,3,5.94
"Esthwaite Water (UK)",1989,4,7.775
"Esthwaite Water (UK)",1989,5,13.68
"Esthwaite Water (UK)",1989,6,18.35
"Esthwaite Water (UK)",1989,7,21.425
"Esthwaite Water (UK)",1989,8,18.18
"Esthwaite Water (UK)",1989,9,14.875
"Esthwaite Water (UK)",1989,10,12.52
"Esthwaite Water (UK)",1989,11,8.85
"Esthwaite Water (UK)",1989,12,4.7
"Esthwaite Water (UK)",1990,1,5.1
"Esthwaite Water (UK)",1990,2,5.1
"Esthwaite Water (UK)",1990,3,6.6
"Esthwaite Water (UK)",1990,4,8.625
"Esthwaite Water (UK)",1990,5,15.26
"Esthwaite Water (UK)",1990,6,16
"Esthwaite Water (UK)",1990,7,18.36
"Esthwaite Water (UK)",1990,8,18.35
"Esthwaite Water (UK)",1990,9,15.15
"Esthwaite Water (UK)",1990,10,11.16
"Esthwaite Water (UK)",1990,11,8.1
"Esthwaite Water (UK)",1990,12,4.55
"Esthwaite Water (UK)",1991,1,3.1
"Esthwaite Water (UK)",1991,2,4
"Esthwaite Water (UK)",1991,3,5.675
"Esthwaite Water (UK)",1991,4,7.8
"Esthwaite Water (UK)",1991,5,12.425
"Esthwaite Water (UK)",1991,6,14.025
"Esthwaite Water (UK)",1991,7,18.5
"Esthwaite Water (UK)",1991,8,17.625
"Esthwaite Water (UK)",1991,9,16.875
"Esthwaite Water (UK)",1991,10,11
"Esthwaite Water (UK)",1991,11,6.75
"Esthwaite Water (UK)",1991,12,4.85
"Esthwaite Water (UK)",1992,1,4.2
"Esthwaite Water (UK)",1992,2,4.1
"Esthwaite Water (UK)",1992,3,5.2
"Esthwaite Water (UK)",1992,4,6.95
"Esthwaite Water (UK)",1992,5,12.35
"Esthwaite Water (UK)",1992,6,19.1333333333333
"Esthwaite Water (UK)",1992,7,17.25
"Esthwaite Water (UK)",1992,8,16.6
"Esthwaite Water (UK)",1992,9,12.75
"Esthwaite Water (UK)",1992,10,10.45
"Esthwaite Water (UK)",1992,11,7.15
"Esthwaite Water (UK)",1992,12,6
"Esthwaite Water (UK)",1993,1,3.7
"Esthwaite Water (UK)",1993,2,5.3
"Esthwaite Water (UK)",1993,3,5.35
"Esthwaite Water (UK)",1993,4,8.35
"Esthwaite Water (UK)",1993,5,12.25
"Esthwaite Water (UK)",1993,6,16.7
"Esthwaite Water (UK)",1993,7,16.4
"Esthwaite Water (UK)",1993,8,15.9
"Esthwaite Water (UK)",1993,9,14.65
"Esthwaite Water (UK)",1993,10,11.05
"Esthwaite Water (UK)",1993,11,6.33333333333333
"Esthwaite Water (UK)",1993,12,4.2
"Esthwaite Water (UK)",1994,1,3.6
"Esthwaite Water (UK)",1994,2,3.05
"Esthwaite Water (UK)",1994,3,4.7
"Esthwaite Water (UK)",1994,4,6.9
"Esthwaite Water (UK)",1994,5,12.5666666666667
"Esthwaite Water (UK)",1994,6,16.65
"Esthwaite Water (UK)",1994,7,19.45
"Esthwaite Water (UK)",1994,8,18.3
"Esthwaite Water (UK)",1994,9,14.55
"Esthwaite Water (UK)",1994,10,11.85
"Esthwaite Water (UK)",1994,11,9.66666666666667
"Esthwaite Water (UK)",1994,12,8
"Esthwaite Water (UK)",1995,1,4.65
"Esthwaite Water (UK)",1995,2,4.8
"Esthwaite Water (UK)",1995,3,5.2
"Esthwaite Water (UK)",1995,4,8.7
"Esthwaite Water (UK)",1995,5,13.55
"Esthwaite Water (UK)",1995,6,15.55
"Esthwaite Water (UK)",1995,7,20.05
"Esthwaite Water (UK)",1995,8,21.5666666666667
"Esthwaite Water (UK)",1995,9,16.55
"Esthwaite Water (UK)",1995,10,12.8
"Esthwaite Water (UK)",1995,11,9.1
"Esthwaite Water (UK)",1995,12,6.55
"Esthwaite Water (UK)",1996,1,4.46666666666667
"Esthwaite Water (UK)",1996,2,2.2
"Esthwaite Water (UK)",1996,3,4.35
"Esthwaite Water (UK)",1996,4,7.05
"Esthwaite Water (UK)",1996,5,10.25
"Esthwaite Water (UK)",1996,6,16.3
"Esthwaite Water (UK)",1996,7,18.4333333333333
"Esthwaite Water (UK)",1996,8,19.35
"Esthwaite Water (UK)",1996,9,15.65
"Esthwaite Water (UK)",1996,10,12
"Esthwaite Water (UK)",1996,11,9
"Esthwaite Water (UK)",1996,12,4.45
"Esthwaite Water (UK)",1997,1,1.95
"Esthwaite Water (UK)",1997,2,4
"Esthwaite Water (UK)",1997,3,6.7
"Esthwaite Water (UK)",1997,4,9.83333333333333
"Esthwaite Water (UK)",1997,5,13.2
"Esthwaite Water (UK)",1997,6,18.3
"Esthwaite Water (UK)",1997,7,24.2
"Esthwaite Water (UK)",1997,8,20.75
"Esthwaite Water (UK)",1997,9,16.75
"Esthwaite Water (UK)",1997,10,12.9666666666667
"Esthwaite Water (UK)",1997,11,8.85
"Esthwaite Water (UK)",1997,12,6.55
"Esthwaite Water (UK)",1998,1,5.15
"Esthwaite Water (UK)",1998,2,5.15
"Esthwaite Water (UK)",1998,3,7.56666666666667
"Esthwaite Water (UK)",1998,4,8.95
"Esthwaite Water (UK)",1998,5,13.25
"Esthwaite Water (UK)",1998,6,15.9
"Esthwaite Water (UK)",1998,7,17.4
"Esthwaite Water (UK)",1998,8,16.65
"Esthwaite Water (UK)",1998,9,15.6
"Esthwaite Water (UK)",1998,10,11.15
"Esthwaite Water (UK)",1998,11,6.95
"Esthwaite Water (UK)",1998,12,5.05
"Esthwaite Water (UK)",1999,1,4.55
"Esthwaite Water (UK)",1999,2,4.7
"Esthwaite Water (UK)",1999,3,6
"Esthwaite Water (UK)",1999,4,9.7
"Esthwaite Water (UK)",1999,5,13.85
"Esthwaite Water (UK)",1999,6,16.3
"Esthwaite Water (UK)",1999,7,19.7
"Esthwaite Water (UK)",1999,8,19.0666666666667
"Esthwaite Water (UK)",1999,9,16.45
"Esthwaite Water (UK)",1999,10,12.45
"Esthwaite Water (UK)",1999,11,9
"Esthwaite Water (UK)",1999,12,6.1
"Esthwaite Water (UK)",2000,1,5
"Esthwaite Water (UK)",2000,2,5.93333333333333
"Esthwaite Water (UK)",2000,3,7.8
"Esthwaite Water (UK)",2000,4,9.8
"Esthwaite Water (UK)",2000,5,16.35
"Esthwaite Water (UK)",2000,6,17.25
"Esthwaite Water (UK)",2000,7,19
"Esthwaite Water (UK)",2000,8,19.1666666666667
"Esthwaite Water (UK)",2000,9,16.85
"Esthwaite Water (UK)",2000,10,12
"Esthwaite Water (UK)",2000,11,8.3
"Esthwaite Water (UK)",2000,12,7.8
"Esthwaite Water (UK)",2001,1,4.7
