1854,0.356,0.026,-0.043,0.141,0.234,0.339,-0.050,-0.685,-0.395,-0.744,-0.708,-1.070
1855,-0.319,0.199,0.199,-0.213,-0.494,-0.537,-0.287,0.403,0.762,0.402,0.324,0.504
1856,0.604,0.444,0.542,-0.237,-0.295,-0.342,-0.453,-0.711,-0.674,-0.766,-0.988,-1.207
1857,-1.393,-1.172,-0.913,-0.663,-0.168,0.233,0.157,-0.144,-0.188,-0.207,0.129,0.189
1858,0.165,0.287,-0.051,0.054,0.353,1.035,0.774,0.647,0.370,0.526,0.212,-0.316
1859,-0.415,-0.526,-0.442,-0.674,-0.531,-0.636,-0.385,-0.191,-0.420,-0.462,-0.353,-0.354
1860,-0.559,-0.572,-0.517,-0.711,-0.662,-0.402,-0.015,-0.324,-0.503,-1.198,-0.962,-0.722
1861,-0.702,-0.481,-0.204,-0.770,-0.574,-0.230,-0.284,-0.331,-0.873,-0.887,-1.024,-0.970
1862,-0.935,-0.641,-0.662,-0.675,-0.833,-0.924,-0.542,-0.394,-0.095,-0.429,-0.393,-0.733
1863,-0.743,-0.407,-0.773,-0.823,-0.630,-0.726,-0.072,-0.244,-0.180,-0.326,-0.084,-0.175
1864,-0.341,-0.455,-0.655,-0.625,-0.529,-0.171,0.008,-0.174,-0.132,-0.014,-0.095,0.080
1865,-0.793,-0.319,-0.151,-0.356,-0.297,-0.530,-0.729,-0.552,-0.473,-0.501,-0.498,-0.430
1866,-0.588,-0.624,-1.154,-0.770,-0.387,-0.416,-0.335,-0.254,0.030,-0.491,-0.551,-0.379
1867,-0.449,-0.739,-1.076,-0.971,0.258,-0.003,-0.136,-0.320,-0.638,-0.435,-0.043,-0.078
1868,-0.265,-0.030,-0.155,-0.471,-0.366,-0.627,-0.405,-0.283,-0.033,-0.122,-0.319,-0.349
1869,-0.365,-0.374,-0.325,-0.249,0.015,0.123,0.096,-0.611,-0.996,-1.295,-0.814,-1.252
1870,-1.016,-1.416,-1.064,-1.073,-1.225,-1.136,-1.189,-0.627,-0.812,-1.181,-1.089,-1.002
1871,-0.689,-0.671,-0.391,-0.163,-0.314,-0.024,-0.054,0.138,0.031,-0.563,-0.385,-0.385
1872,-0.579,-0.741,-0.752,-0.809,-0.634,-0.683,0.038,-0.516,-0.527,-0.812,-1.361,-1.782
1873,-1.679,-1.824,-1.480,-1.421,-0.759,-0.923,-0.828,-0.667,-0.797,-0.895,-0.818,-0.700
1874,-0.897,-1.242,-1.004,-0.738,-0.871,-1.125,-1.036,-0.804,-0.747,-0.943,-0.914,-1.227
1875,-0.950,-0.801,-0.683,-0.879,-0.808,-0.811,-0.673,-0.720,-0.874,-0.998,-0.990,-0.974
1876,-1.358,-1.359,-1.516,-1.534,-1.423,-0.767,-0.779,-0.824,-0.475,-0.063,-0.008,-0.049
1877,0.012,-0.088,-0.003,0.409,0.436,0.692,1.090,1.345,1.429,1.435,1.559,1.724
1878,1.717,2.202,1.399,1.121,0.694,0.101,0.025,0.048,-0.349,-0.555,-0.630,-0.334
1879,-0.256,-0.454,-0.634,-0.591,-0.975,-1.235,-1.251,-0.701,-0.567,-1.066,-1.423,-1.224
1880,-1.066,-0.591,-0.586,-0.903,-0.936,-0.603,-0.036,-0.031,-0.254,0.516,0.387,0.313
1881,0.251,0.295,0.408,0.371,0.405,0.303,-0.355,-0.372,0.169,0.087,-0.002,-0.196
1882,-0.524,-0.455,-0.166,-0.051,-0.162,-0.632,-0.788,-0.527,-0.402,-0.397,-0.603,-0.677
1883,-0.579,-0.170,-0.063,0.169,0.072,-0.073,-0.526,-0.492,-0.307,-0.287,0.033,-0.439
