Lynx Count,Hare Count
2050,8200
1550,4440
970,4602
1603,9294
1546,862
989,4130
1102,17470
1149,12072
1625,9646
1541,7917
2269,14447
3708,21825
4495,24600
3658,18099
2083,10613
1091,9856
820,28048
1052,34746
1588,54336
2788,25914
277,34210
7029,101072
2593,22580
1884,15003
167,2506
122,9105
131,19855
116,19427
347,77052
845,14268
1533,16955
2901,19682
4128,16650
8986,9561
7173,970
6456,830
5161,2330
7254,5444
38200,1330
10359,285607
21180,29006
31062,25840
43253,24301
20604,15621
9303,26781
6722,54827
4850,82430
4907,82814
10764,91316
21511,70685
32264,84489
33038,95534
27460,62543
15968,29590
7927,15409
4616,18516
4570,39258
4760,5052
17044,155461
34732,144519
68097,106279
70372,45909
39119,22668
19992,631
8806,3070
5679,9932
4839,6434
10045,60520
17849,49053
18868,50934
43575,104123
37490,87722
21291,65585
14767,17593
10053,10950
7581,17830
8016,13595
27119,13072
51414,45118
73878,53522
78555,136726
33720,137685
18726,94150
11445,36286
6000,22000
5000,50000
10000,55000
20000,65000
35000,60000
54000,80000
38000,96000
26000,55000
15000,18000
6000,5000
9000,1000
11000,15000
24000,100
35000,5000
55000,45000
60000,70000
7000,20000
